superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
2000;Catamarca;77.233,00;27.000,00;4;26.034,00;24.195,00; -   
2000;Chaco;2.639,05;169;30;106,7;2.333,35; -   
2000;Chubut;133,6;26,88;15,7;42,01;49,01; -   
2000;Ciudad Autónoma de Buenos Aires;32;1,5;0,5;2;28; -   
2000;Córdoba;89.920,00;20.637,95;1.198,15;32.676,95;35.406,95; -   
2000;Corrientes;6.014,20;12;3.168,50;564,2;2.269,50; -   
2000;Entre Ríos;1.175,00;646;203;145;181; -   
2000;Formosa;731,5; -   ; -   ;64;667,5; -   
2000;Jujuy;1.167,00;18;400;109;640; -   
2000;La Pampa;1.411.981,40;290.153,70; -   ;1.099.827,70;22.000,00; -   
2000;La Rioja;52.178,00;10.880,00;45;11.908,00;29.345,00; -   
2000;Mendoza;609.834,00;385.778,90;507;71.183,80;152.364,30; -   
2000;Misiones;3.862,47;161;462,47;1.256,00;1.983,00; -   
2000;Neuquén;15.180,51;0,04;0,31;9,51;15.170,65; -   
2000;Río Negro;155.753,09;27.619,02;1.374,43;17.143,58;109.616,06; -   
2000;Salta;30.793,00;15.533,00;2.128,00;4.469,00;8.663,00; -   
2000;San Juan;803,5; -   ; -   ;6,75;796,75; -   
2000;San Luis;299.556,00;149.100,00; -   ;118.456,00;32.000,00; -   
2000;Santa Cruz;7.378,25;122,25; -   ;1.579,00;5.677,00; -   
2000;Santa Fe;2.087,00;127,5;117,5;353,5;1.488,50; -   
2000;Santiago del Estero;4.732,00;2.730,00;4;832;1.166,00; -   
2000;Tierra del Fuego;22,41;22,31; -   ; -   ;0,1; -   
2000;Tucumán;15.800,00;11.800,00; -   ; -   ;4.000,00; -   
2001;Buenos Aires;75.569,87;19.997,57;730,68;16.430,64;38.410,97; -   
2001;Catamarca;1.916,00; -   ; -   ;107;1.809,00; -   
2001;Chaco;6.289,18;55,05;151;575,6;5.507,53; -   
2001;Chubut;5.885,48;4.425,41;836,78;570,19;53,11; -   
2001;Ciudad Autónoma de Buenos Aires;15,95; -   ; -   ;0,2;15,75; -   
2001;Córdoba;83.173,00;19.234,00;313;5.334,00;58.292,00; -   
2001;Corrientes;2.824,00;762;494;2;1.566,00; -   
2001;Entre Ríos;480,7;67;199,2;79;135,5; -   
2001;Formosa;5.596,00; -   ; -   ;502;5.094,00; -   
2001;Jujuy;134,3; -   ;34,5;24,5;75,3; -   
2001;La Pampa;2.913.817,00;579.124,00; -   ;2.334.693,00; -   ; -   
2001;La Rioja;65.038,00;7.400,00; -   ;40;57.598,00; -   
2001;Mendoza;420.340,00;241.056,00;496,8;107.521,00;71.266,20; -   
2001;Misiones;2.923,50;156;113,5;746;1.908,00; -   
2001;Neuquén;22.551,78;0,08;0;12,5;22.539,20; -   
2001;Río Negro;938.044,58;35.393,25;16.326,55;352.575,38;533.749,39; -   
2001;Salta;47.611,00;11.442,00;438;11.864,00;23.867,00; -   
2001;San Juan;574,5;1; -   ;43,75;529,75; -   
2001;San Luis;90.105,00;54.655,00; -   ;19.250,00;16.200,00; -   
2001;Santa Cruz;4.704,75;500,5; -   ;1.135,50;3.068,75; -   
2001;Santa Fe;2.399,00;7;8;77,5;2.306,50; -   
2001;Santiago del Estero;1.382,00;1.140,00; -   ;19;223; -   
2001;Tierra del Fuego;57,1;56,84; -   ;0,1;0,16; -   
2001;Tucumán;600; -   ; -   ; -   ;600; -   
2002;Buenos Aires;104.906,82;31.432,89;1.330,75;4.154,42;67.988,76; -   
2002;Catamarca;43.524,77;9.097,00;300,25;2.923,75;31.203,76; -   
2002;Chaco;144,97;1,11; -   ;44,29;99,57; -   
2002;Chubut;7.640,76;155,66;16,82;7.267,86;200,43; -   
2002;Córdoba;104.773,00;25.734,00;8.449,00;28.510,00;42.080,00; -   
2002;Corrientes;4.025,00;1.046,00;735;243;2.001,00; -   
2002;Entre Ríos;496;236;118,5;31;110,5; -   
2002;Formosa;9.687,00;4; -   ;14;9.669,00; -   
2002;Jujuy;139,5;14;53,7;28,5;43,3; -   
2002;La Pampa;985.793,00;304.458,00; -   ;668.185,00;13.150,00; -   
2002;La Rioja;78.422,00;40.447,00; -   ; -   ;37.975,00; -   
2002;Mendoza;333.429,50;90.001,91;1.500,00;127.066,04;114.861,55; -   
2002;Misiones;575,23;49,3;197,86;105,5;222,57; -   
2002;Neuquén;8.440,09;939,98;2,61;1,61;7.495,88; -   
2002;Río Negro;333.616,78;80.875,63;2.979,51;181.768,86;67.992,78; -   
2002;Salta;36.516,00;9.682,00;611;9.596,00;16.627,00; -   
2002;San Juan;984;14,25;48;3,5;918,25; -   
2002;San Luis;178.112,00;178.102,00;10; -   ; -   ; -   
2002;Santa Cruz;9.865,00;4.022,00;0,75;592,5;5.249,75; -   
2002;Santa Fe;2.544,75;428,77;108,39;172,81;1.834,78; -   
2002;Santiago del Estero;8.017,70;5.774,20; -   ;2;2.241,50; -   
2002;Tierra del Fuego;23,12;19,04; -   ;0,21;3,87; -   
2002;Tucumán;1.048,50;85; -   ;33,5;930; -   
2003;Buenos Aires;569.735,82;19.535,65;1.301,04;2.749,73;546.149,41; -   
2003;Catamarca;11.080,00;6.880,00; -   ;1.505,00;2.695,00; -   
2003;Chaco;16.978,40;1.549,00;44;271;15.114,40; -   
2003;Chubut;44.659,45;41,15;29,98;42.840,66;1.747,66; -   
2003;Ciudad Autónoma de Buenos Aires;14; -   ; -   ; -   ;14; -   
2003;Córdoba;127.545,00;51.474,00;3.308,00;1;72.762,00; -   
2003;Corrientes;2.132,00;1.109,00;512; -   ;511; -   
2003;Entre Ríos;1.381,00;399,5;322,5;250,5;408,5; -   
2003;Formosa;7.585,60;401,6;305;194;6.685,00; -   
2003;Jujuy;258,8;19,5;15,5;65;158,8; -   
2003;La Pampa;853.921,00;418.363,00; -   ;412.138,00;23.420,00; -   
2003;La Rioja;125.968,00;99.233,00;2.006,00; -   ;24.729,00; -   
2003;Mendoza;612.387,40;115.423,10; -   ;225.902,60;271.061,70; -   
2003;Misiones;4.381,07;4,5;1.217,26;967,5;2.191,82; -   
2003;Neuquén;17.908,22;110,66;270,88;2.787,95;14.738,74; -   
2003;Río Negro;448.243,66;48.349,95;4.326,91;220.822,71;174.744,09; -   
2003;Salta;54.857,00;10.660,00;1.584,00;15.008,00;27.605,00; -   
2003;San Juan;2.658,50; -   ;15,25;175;2.468,25; -   
2003;San Luis;217.720,00;217.720,00; -   ; -   ; -   ; -   
2003;Santa Cruz;15.494,25;10.145,00; -   ;691,25;4.658,00; -   
2003;Santa Fe;4.421,00;1.255,50;53,5;178;2.934,00; -   
2003;Santiago del Estero;3.474,10;1.933,00; -   ;560;981,1; -   
2003;Tierra del Fuego;0,31;0,23; -   ;0,08;0; -   
2003;Tucumán;3.563,00;351;21,5;44;3.146,50; -   
2004;Buenos Aires;23.706,41;1.537,90;1.446,12;3.038,64;17.683,75; -   
2004;Catamarca;2.174,50;1; -   ;249;1.924,50; -   
2004;Chaco;5.257,40;427,5;12;279,4;4.538,50; -   
2004;Chubut;2.459,11;637,25;267,96;1.139,43;414,47; -   
2004;Ciudad Autónoma de Buenos Aires;45;0,25; -   ; -   ;44,75; -   
2004;Córdoba;11.473,00;4.600,00;41;63;6.769,00; -   
2004;Corrientes;5.159,00; -   ;1.507,00; -   ;3.652,00; -   
2004;Entre Ríos;4.133,12;634,9;1.018,50;991;1.488,72; -   
2004;Formosa;2.095,00; -   ; -   ;124;1.971,00; -   
